agency_id,rooms_page,pax_page
15734,10,2
6048,10,0
25307,59,7
43091,4,1
43085,22,9
10167,92,8
11219,4,1
4059,55,21
1962,81,12
38653,130,20
57131,47,21
4635,240,45
60712,1,1
41583,22,6
42747,3,0
33027,97,19
42707,34,11
38612,99,52
4213,56,12
41046,20,3
33533,36,5
35074,76,4
3742,157,95
53848,2,0
51481,21,2
4515,41,8
42055,8,5
3376,89,57
36710,47,10
2106,15,5
33437,22,2
52448,1,0
30063,28,22
25776,17,2
29772,12,3
44333,265,38
58541,29,1
24546,84,10
49150,6,2
65523,1,1
1971,74,17
25607,12,2
40899,9,0
13671,2,1
34352,15,1
598,24,15
54375,9,2
19069,129,19
25806,26,6
62852,42,3
58639,6,2
58832,12,0
31624,50,5
56318,1,0
3980,72,21
1088,2,0
23184,51,14
60603,9,2
42082,31,2
9736,2,0
14450,163,34
18627,25,5
43315,38,8
52181,1,0
65353,12,1
61195,26,5
30871,18,1
49490,15,0
11435,56,8
53961,6,3
55279,52,1
19731,19,5
59101,2,1
45203,98,13
16167,33,5
46100,99,10
25201,115,15
46521,10,1
4939,25,6
58099,8,0
12857,40,7
60678,92,6
23384,6,1
60663,38,5
51677,4,1
37133,284,13
3620,37,15
12533,36,6
41363,31,17
5199,5,1
46423,7,2
5652,50,8
40348,58,14
7161,85,17
4606,32,14
66608,16,5
46044,2,0
17210,154,8
61892,43,14
54798,3,0
25286,13,4
57101,338,18
58920,3,1
62766,116,10
60564,88,15
59106,16,2
4550,12,9
33156,1,0
30928,312,190
49861,87,9
12595,23,7
59939,18,4
45278,21,7
44865,7,2
1415,24,6
40737,17,3
34249,49,8
10000,93,17
10886,228,87
6035,24,0
43328,22,15
49785,1,0
12521,18,2
611,18,8
46867,19,7
54531,2,0
12358,12,10
57924,23,5
66249,12,4
22592,13,4
58553,166,30
47943,31,8
36929,223,16
62955,2,1
8291,34,5
15898,57,13
67129,1,0
61405,9,2
6976,69,13
39524,12,4
1404,8,2
43086,50,12
50059,127,4
41220,46,7
42693,42,5
40076,23,0
44808,18,1
61528,84,32
59535,87,6
878,108,30
59772,7,3
61543,8,1
45269,1,0
2882,166,101
28764,20,5
8231,127,36
35813,7,2
2283,14,2
2701,147,44
1262,13,4
25237,1,1
23679,43,9
56748,24,14
35647,35,4
62953,9,2
35678,57,13
40955,22,8
56141,5,1
57986,33,10
41384,11,3
59401,2,0
66899,1,1
26818,17,6
51646,34,6
13785,45,18
57053,18,1
56523,46,22
26691,20,5
536,18,2
20430,3,1
13133,2,1
458,37,28
26017,47,5
55206,18,0
54104,34,6
47973,31,2
8203,144,52
34292,10,4
52235,2,0
60977,8,1
9841,6,1
42179,6,1
58204,1,1
11537,16,11
65090,4,2
55882,3,1
11529,28,0
64360,1,0
12476,4,0
20197,1,0
41464,2,2
29737,29,6
66061,1,0
11656,23,7
53597,17,5
57579,12,0
64945,5,1
23731,25,4
17521,27,12
64924,8,1
22704,13,6
47053,90,10
3337,26,4
53016,17,0
27526,17,6
7909,12,5
8926,87,57
53434,21,8
53990,1,0
22077,9,0
7611,6,2
24379,8,0
65333,7,3
7934,90,44
47057,9,4
22302,1,0
24101,38,5
9912,38,3
21478,16,11
34240,5,0
66950,11,1
13462,5,1
62271,2,0
50136,12,7
64331,18,10
33547,54,8
9595,24,19
35974,141,41
16776,51,9
37877,42,18
66679,118,10
34577,12,5
30159,46,22
59105,22,4
34326,2,0
65191,2,1
2116,22,11
32423,7,3
8179,14,2
25701,13,9
26663,126,6
53884,4,0
2453,137,49
24840,49,14
30363,7,0
23499,12,10
25322,41,7
16021,6,1
8445,49,11
15561,25,3
14127,21,3
58390,41,6
57436,3,0
8977,18,9
1270,4,1
34349,1,0
4131,34,17
26661,29,7
50155,87,15
11609,19,6
7047,4,2
8995,39,19
52568,2,0
11948,14,9
13828,1,0
41372,63,2
28740,63,2
26929,24,3
13409,8,5
64456,41,10
20241,8,6
6321,13,3
20825,31,10
33646,3,0
4427,2,0
7687,8,5
36005,18,4
42808,202,4
4909,19,0
17926,53,32
11400,15,7
27239,9,0
26650,25,22
60017,32,12
8980,26,4
2494,40,24
50052,20,6
56447,171,20
48782,38,9
16488,7,5
6354,17,12
37297,334,48
11478,17,11
41099,144,65
26760,4,0
11401,5,3
6282,65,19
157,117,24
15904,17,4
52983,26,7
16591,268,38
11446,54,15
60155,62,17
30261,108,33
61328,17,5
15790,110,57
26753,25,12
57491,45,2
10401,10,3
17118,32,8
44201,27,7
64363,64,41
47177,100,46
27163,63,17
34785,66,14
60612,17,4
